Id1,Frequency1,Kanji1,Type1,Meaning1,Meaning2,Meaning3,Bushu1,Bushu2,Bushu3,Bushu4,Radical1,Radical2,Radical3,Radical4,Onyomi Reading1,Onyomi Reading2,Kunyomi Reading1,Kunyomi Reading2,Mnemonic,Notes
344,,冖,Radical,hat,,,,,,,downwards bracket,,,,,,,,Hat.m looks like a bracket.r facing downwards.,"This radical never appears by itself, only as a part of other characters."
345,1076,片,Kanji,fragment,,,,,,,slash,capital K,,,HEN,,kata,,A fragment.m shaped like a K.r slashed.r the hen.o that became catatonic.k from shock.,
346,1669,寸,Kanji,inch,,,,,,,one,barb,bloody,,SUN,,,,Every inch.m had one.r bloody.r barbed.r wire fence. We'll soon.o die here.,
347,322,付,Kanji,attach,,,,,,,standing man,inch,,,FU,,tsu.ku,tsu.keru,"Attached.m to the standing.r man.r is an inch.r worm. ""F.o U.!"".o he screams at the attached blood-#tsucker.k!",
348,213,団,Kanji,group,,,,,,,box,inch,,,DAN,,,,The group.m put him in a box.r with inch.r thick walls. Dan.o wasn't in the group.,
349,,宀,Radical,crown,,,,,,,bloody,hat,,,,,,,A crown.m is just a bloody.r hat.r!,"This radical never appears by itself, only as a part of other characters."
350,,乇,Radical,whip,,,,,,,slash,seven,,,TAKU,,,,Whip.m and slash.r the prisoner seven.r times.,"This radical never appears by itself, only as a part of other characters."
351,357,宅,Kanji,house,,,,,,,crown,whip,,,TAKU,,,,"In the house.m, she'll wear the crown.r and pussy whip.r you. She can take.o your.o house from you.",
352,457,守,Kanji,protect,,,,,,,crown,inch,,,SHU,SU,mamo.ru,,Protect.m the crown.r! Every inch.r! Shoot.o back and protect Sue.o so you get memorialized.k.,
353,1366,穴,Kanji,hole,,,,,,,crown,eight,,,KETSU,,ana,,The hole.m in the crown.r was eight.r cm wide. Ketchup.o oozed out of Anna's.k hole :-p,
354,224,半,Kanji,half,,,,,,,horns,two,bar,,HAN,,naka.ba,,Half.m the horny.r guys put two.r bars.r up their butts. Han.o has a nack.k for bashing.k butts.,
355,1852,羊,Kanji,sheep,,,,,,,horns,three,bar,,YOU,,hitsuji,,"You do sheep.m with your horny.r three.r cm bar.r. You,.o and,o only.o you,.o fuck hysterical.k sheep.",
356,341,南,Kanji,south,,,,,,,ten,staple,sheep,,NAN,,minami,,"In the South.m, ten.r staples.r were put into sheep.r. The nanny.o minimized.k the amount of beastiality in the South.","The sheep radical, 羊, is missing a horizonal stroke."
357,1060,看,Kanji,take care of,,,,,,,hand,eye,,,KAN,,mi.ru,,Take.m care.m of.m your hands.r and eyes.r. You can.o take care of yourself looking in a mirror.k.,
358,376,着,Kanji,wear,,,,,,,sheep,slash,eye,,CHAKU,,ki.ru,tsu.ku,Wear.m sheep.r skin. We slashed.r his eye.r. Check.o out the kilt.k that tsucker.k wears.,Also means 'arrive' with kunyomi tsu.ku.
359,449,差,Kanji,variation,,,,,,,sheep,left,,,SA,,sa.su,,"The variation.m between the sheep.r on the left.r is that, sadly.o, they are sassy.k bitches.",
360,805,角,Kanji,corner,,,,,,,skull,utilize,,,KAKU,,kado,,A corner.m of the skull.r is utilized.r to control the cock.o of the cadet.k.,Corner has the 'utilize' 用 without the stick protruding at the bottom.
361,275,再,Kanji,once more,,,,,,,industry,yen,,,SAI,,futata.bi,,"Once.m more,.m industry.r earned some yen.r. Sigh.o. Once more communism proves futile.k.","再, 'once more,' looks a lot like 甫, 'initially.'"
362,,⺎,Radical,pirate,,,,,,,one,legs,,,,,,,The pirate.m is missing one.r of his legs.r.,"This radical never appears by itself, only as a part of other characters."
363,527,光,Kanji,light,,,,,,,sparkles,pirate,,,KOU,,hika.ru,,The light.m of the sparkes.r gave the pirate.r the cou.orage to light the old hickory.k ship on fire.,
364,192,元,Kanji,origin,,,,,,,two,pirate,,,GEN,,moto,,The original.m two.r pirates.r were gentlemen.o in motorcycle.k gangs.,
365,257,挙,Kanji,raise,,,,,,,light,hand,,,KYO,,a.garu,a.geru,Raise.m the light.r with your hand.r. Raise it so the coyotes.o agree.k to leave.,
366,595,完,Kanji,complete,,,,,,,crown,origin,,,KAN,,,,The completion.m of the crown's.r conquests originated.r with Genghis Khan.o.,
367,,ヶ,Radical,keg,,,,,,,katakana KE,gun,slash,,,,,,Keg.m is spelled with katakana.r ヶ.r which also looks like a gun.r and slash.r.,"This radical never appears by itself, but it is the same shape as katakana KE."
368,593,竹,Kanji,bamboo,,,,,,,keg,gun,barb,,CHIKU,,take,,Hurl the bamboo.m kegs.r filled with gun.rpowder over the barbed.r wire. Make the chicks.o take.k the bamboo kegs.,
369,135,世,Kanji,society,,,,,,,letter L,score,,,SE,,yo,,"Society.m uses Ls.r to keep score.r. Like sex.o with yo.k mama, society makes no sense.",
370,,枼,Radical,plank,,,,,,,society,tree,,,,,,,The planks.m of society.r are made of tree.r wood.,"This radical never appears by itself, only as a part of other characters."
371,414,葉,Kanji,leaf,,,,,,,plant,plank,,,YOU,,ha,ba,"A leaf.m of a plant.r is flat as a plank.r. You,.o and.o only.o you.o, have.k a leaf.",
372,472,非,Kanji,mistake,,,,,,,three,broken legs,,,HI,,ara.zu,,"Their mistake.m led to three.r broken.r legs.r. He.o in particular, mistakenly aroused.k their anger.",
373,1137,俳,Kanji,actor,,,,,,,standing man,mistake,,,HAI,,,,"An actor.m is the standing.r man.r making mistakes.r on stage. High.o up there, he finds glory.",
374,186,面,Kanji,surface,,,,,,,one,oneself,box,,MEN,,omo,omote,"On the surace.m, they're number one.r. But they're hiding themselves.r in a box.r. Men.o are ominously.k superficial.",
375,178,交,Kanji,mix,,,,,,,lid,father,,,KOU,,maji.waru,,"Mix.m it up, put a lid.r on it and give it to father.r. That cow.oard magically.k downs mixed drinks.",
376,144,安,Kanji,cheap,,,,,,,crown,woman,,,AN,,yasu.i,,It's easy.m to take the cheap.m crown.r from that woman.r. An.o empress asked and she said yes.k.,
377,423,好,Kanji,like,,,,,,,woman,child,,,KOU,,kono.mu,,We like.m women.r and children.r. They are cou.orageous and like the economy.k.,
378,,龷,Radical,picket,,,,,,,two,bar,bar,,,,,,The picket.m posts have two.r bars.r.,"This radical never appears by itself, only as a part of other characters."
379,174,共,Kanji,together,,,,,,,picket,eight,,,KYOU,,tomo,,"Together,.m they will picket.r against eight.r companies in Kyoto.o tomorrow.k.",
380,313,供,Kanji,offer,,,,,,,standing man,together,,,KYOU,,domo,,Offer.m to the standing.r man.r both options together.r: Work in Kyoto.o or the domestic.k offer.,
381,631,異,Kanji,abnormal,,,,,,,field,together,,,I,,koto.naru,,"The abnormals.m fight in the fields.r together.r. I,.o and.o only.o I.o, shoot an abnormal cotton.r arrow.k.",
382,1240,黄,Kanji,yellow,,,,,,,picket,reason,eight,,OU,KOU,ki,,The yellow.m picket.r was the reason.r those eight.r owls showed up. The cow.oardly ow.ols keep.k pissing yellow on it.,
383,,𦰩,Radical,hardship,,,,,,,plant,eclipse,husband,,KAN,TAN,,,The hardship.m of planting.r during an eclipse.r was borne by the husband.r who can.o tan.o well.,"This radical never appears by itself, only as a part of other characters."
384,1487,漢,Kanji,China,,,,,,,water splash,hardship,,,KAN,,,,"In China.m, they suffered water.r shortages and hardship.r under Genghis Khan.o.","THIS IS HOW YOU WRITE THE ACTUAL WORD FOR KANJI, 漢字!"
385,485,字,Kanji,letter,,,,,,,crown,child,,,JI,,aza,,The letters.m were inscribed on the crown.r by a child.r genius.o who could spell Azerbaijan.k.,"THIS IS HOW YOU WRITE THE ACTUAL WORD FOR KANJI, 漢字!"
386,,龸,Radical,tiara,,,,,,,sparkles,hat,crown,,,,,,"A tiara.m is a sparkling.r hat.r, a type of crown.r.","This radical never appears by itself, only as a part of other characters."
387,63,学,Kanji,study,,,,,,,tiara,child,,,GAKU,,mana.bu,,Studying.m is a tiara.r on a child's.r mind. He gawked.o at and studied the manual.k book.k.,
388,710,覚,Kanji,remember,,,,,,,tiara,,,,KAKU,,obo.eru,sa.meru,Remember.m the tiara.r that you see.r. Those cocks.r remember to over.k rule.k you all the same.k.,
389,159,支,Kanji,support,,,,,,,ten,again,,,SHI,,sasa.eru,,"Supported.m by branches,.m ten.r were upheld again.r. She.o in particular, supported a branch and was sassy.k about it.",
390,1092,皮,Kanji,peel,,,,,,,cliff,support,,,HI,,kawa,,"He peeled.m his skin falling off a cliff.r but he supported.r himself on the edge. He.o in particular, peeled his skin as he slid off a Kawasaki.k bike.",
391,191,反,Kanji,against,,,,,,,cliff,again,,,HAN,,,,"Against.m the edge of a cliff.r again,.r Han.o fought those against him.",
392,,伎,Kanji,deed,,,,,,,standing man,support,,,KI,,,,The deeds.m of the standing.r man.r supported.r him. He keeps.o his skills sharp.,
393,648,彼,Kanji,he (informal),,,,,,,loiter,peel,,,HI,,kare,,"He.m loiters.r about and eats apple peels.r. He.o in particular, doesn't care.k.",
394,1039,仮,Kanji,temporary,,,,,,,standing man,against,,,KA,,karini,,"Temporarily.m, the standing.r man.r was against.r carbs. The Ca.onadian was a temporary carnivore.k.",
395,26,後,Kanji,after,,,,,,,loiter,string,late,,GO,,ato,ushi.ro,"After.m loitering.r, we silly stringed.r the wall late.r at night. Afterwards we go.o fire auto.kmatic weapons.",
396,,⺘,Radical,left hand,,,,,,,two,barb,,,,,,,My left.m hand.m got pricked by two.r barbs.r from the wire.,"The 'left hand,' ⺘radical is a variant of 'hand,'  手."
397,434,技,Kanji,skill,,,,,,,left hand,support,,,GI,,waza,,The skill.m of his hand.r supports.r him. The G.I..o is skilled in wasa.kbi cuisine.,
398,813,払,Kanji,pay,,,,,,,left hand,private,,,FUTSU,,hara.u,,Pay.m and hand.r me the private.r equity revenue. Pay or my foot.o soldiers will harrass.k you.,
399,126,以,Kanji,at least,,,,,,,scythe,bloody,person,,I,,mot.te,,"At.m least.m use a scythe.r to slay that bloody.r person.r. I,.o and.o only.o I.o, have a motto.k at least as cool his.",
400,237,示,Kanji,point out,,,,,,,two,small,,,JI,,shime.su,,"Point.m it out.m with two.r small.r fingers. The Jeep.o, she.k mess.ked u.kp and I pointed it out.",
401,997,宗,Kanji,religion,,,,,,,crown,point out,,,SHUU,,mune,,The religion.m crowned.r a messiah and pointed.r you out.r. Give your shoes.o and money.k to the religion.,
402,843,困,Kanji,distressed,,,,,,,box,tree,,,KON,,koma.ru,,"Distressed.m because a tree.r boxed.r in the vehicle, the con.o artist crashed the Camaro.k.",
403,1096,里,Kanji,village,,,,,,,field,ground,,,RI,,sato,,The village.m was just fields.r and dirt grounds.r. 'Twas really.o boring on Saturday.k too.,
404,573,黒,Kanji,black,,,,,,,village,bottom fire,,,KOKU,,kuro.i,,"Pitch black,.m the village.r fire.r burned all night. The cocaine.o leaves were cured.k in the process.",
405,452,門,Kanji,gates,,,,,,,bar,day,day,barb,MON,,,,The gate's.m bars.r and barbs.r were breached to#day.r. Shaolin monks.o defended the gates. ,
406,64,問,Kanji,problem,,,,,,,gates,mouth,,,MON,,to.u,,The problem.m is that gates.r are like a mouth.r into the soul. Monks.o tow.k the draw bridge and shut problems out.,
407,33,間,Kanji,interval,,,,,,,gates,day,,,KAN,GEN,aida,,"During the interval.m that the gates.r are open during the day.r, a gen.otleman can.o aide.k the enemy to sneak in.",
408,1328,耳,Kanji,ear,,,,,,,eye,bar,,,JI,,mimi,,Use your ears.m and eyes.r at the bar.r. Dance geniuses.o mimicks.k the rythm with the ear.,
